sampleId,year,season,fireSeverity,fireSevN,vegType,vegTypeN,PFSI,SM,SMLag1,SMLag1Seas
5,2022,Winter,0,Unburnt,5,Forested Wetland,141.0790954,0.796228707,0.48243162,0.871323526
5,2022,Spring,0,Unburnt,5,Forested Wetland,179.6563595,0.918266833,0.588102818,0.796228707
5,2023,Summer,0,Unburnt,5,Forested Wetland,-114.3651446,0.3537049,0.826625049,0.918266833
5,2023,Autumn,0,Unburnt,5,Forested Wetland,-150.9479552,0.401540995,0.871323526,0.3537049
5,2023,Winter,0,Unburnt,5,Forested Wetland,45.28364,0.230832875,0.796228707,0.401540995
5,2023,Spring,0,Unburnt,5,Forested Wetland,24.42500943,0.525515437,0.918266833,0.230832875
5,2024,Summer,0,Unburnt,5,Forested Wetland,-439.1121922,0.505841076,0.3537049,0.525515437
5,2024,Autumn,0,Unburnt,5,Forested Wetland,106.262701,0.711829901,0.401540995,0.505841076
5,2024,Winter,0,Unburnt,5,Forested Wetland,85.40705377,0.449584901,0.230832875,0.711829901
5,2024,Spring,0,Unburnt,5,Forested Wetland,59.87290053,0.071846083,0.525515437,0.449584901
6,2015,Summer,0,Unburnt,5,Forested Wetland,-128.5960321,0.845773101,0.548126996,0.548126996
6,2015,Autumn,0,Unburnt,5,Forested Wetland,-961.2924325,0.834864974,0.760660887,0.845773101
6,2015,Winter,0,Unburnt,5,Forested Wetland,2.946517409,0.772366762,0.440558761,0.834864974
6,2015,Spring,0,Unburnt,5,Forested Wetland,-32.86443338,0.664021611,0.685611665,0.772366762
6,2016,Summer,0,Unburnt,5,Forested Wetland,199.1101312,0.66920346,0.845773101,0.664021611
6,2016,Autumn,0,Unburnt,5,Forested Wetland,1861.717363,0.273766935,0.834864974,0.66920346
6,2016,Winter,0,Unburnt,5,Forested Wetland,85.20377383,0.358179569,0.772366762,0.273766935
6,2016,Spring,0,Unburnt,5,Forested Wetland,155.0059048,0.122095875,0.664021611,0.358179569
6,2017,Summer,0,Unburnt,5,Forested Wetland,-100.1089629,0.089762457,0.66920346,0.122095875
6,2017,Autumn,0,Unburnt,5,Forested Wetland,-163.3147783,0.556120872,0.273766935,0.089762457
6,2017,Winter,0,Unburnt,5,Forested Wetland,-106.6766644,0.656066656,0.358179569,0.556120872
6,2017,Spring,0,Unburnt,5,Forested Wetland,-7.947479412,0.388494015,0.122095875,0.656066656
6,2018,Summer,0,Unburnt,5,Forested Wetland,-24.99770015,0.39998439,0.089762457,0.388494015
6,2018,Autumn,0,Unburnt,5,Forested Wetland,254.6062808,0.578606844,0.556120872,0.39998439
6,2018,Winter,0,Unburnt,5,Forested Wetland,-102.9133958,0.281458139,0.656066656,0.578606844
6,2018,Spring,0,Unburnt,5,Forested Wetland,-182.3206036,0.512812316,0.388494015,0.281458139
6,2019,Summer,0,Unburnt,5,Forested Wetland,-237.5366989,0.676752925,0.39998439,0.512812316
6,2019,Autumn,0,Unburnt,5,Forested Wetland,-173.6492976,0.641753972,0.578606844,0.676752925
6,2019,Winter,0,Unburnt,5,Forested Wetland,-24.30817074,0.407207191,0.281458139,0.641753972
6,2019,Spring,0,Unburnt,5,Forested Wetland,-72.69538255,0.582158744,0.512812316,0.407207191
6,2020,Summer,0,Unburnt,5,Forested Wetland,192.7548088,0.581809402,0.676752925,0.582158744
6,2020,Autumn,0,Unburnt,5,Forested Wetland,205.551132,0.805065274,0.641753972,0.581809402
6,2020,Winter,0,Unburnt,5,Forested Wetland,76.95636337,0.800685406,0.407207191,0.805065274
6,2020,Spring,0,Unburnt,5,Forested Wetland,161.7719258,0.701967955,0.582158744,0.800685406
6,2021,Summer,0,Unburnt,5,Forested Wetland,41.58817955,0.872542202,0.581809402,0.701967955
6,2021,Autumn,0,Unburnt,5,Forested Wetland,-245.4518661,0.867239594,0.805065274,0.872542202
